Hotel Name,Location,County or Region,Country,Hotel Description,Price Range,Amenities,Hotel Category,Contact Information,Website URL,Source URL
Palumbo Reef,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5254518827
Mvuvi Resort & Restaurant,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5466990221
Pongwe Beach Hotel,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,"internet access, swimming pool, air conditioning",Unrated,No contact information available,https://pongwe.com/,https://www.openstreetmap.org/node/5919213334
Hotel Elegant Zanzibar,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,"Marumbi, Zanzibar",No website available,https://www.openstreetmap.org/node/6274093009
Amani residential Hotel,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6761454415
resteurant,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6771563315
Mama Ntilie,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6777285982
Maruhubi Beach Villas,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6779016833
Marabuh villas beach,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/7101577385
Marubuhi beach villa,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/7108530285
Coconat village beach resort,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/7113791285
White Paradise Zanzibar,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/7234999488
Abla Hotel,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8277226817
Santa Maria Coral Park,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,http://www.santamaria-zanzibar.com/,https://www.openstreetmap.org/node/9067851140
Z-Lodge Zanzibar,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,Kiwengwa,https://www.booking.com/hotel/tz/z-lodge-zanzibar,https://www.openstreetmap.org/node/9449528421
Destiny,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,Off Uroa Road Marumbi,No website available,https://www.openstreetmap.org/node/9504388317
Lulu Bungalows Kiwengwa,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,+255747247656,https://instagram.com/lulu_bungalows?igshid=YmMyMTA2M2Y=,https://www.openstreetmap.org/node/10564490409
AVO Boutique Hotel,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,+255 772 457 044,https://avohotelznz.com/,https://www.openstreetmap.org/node/10655504558
Golden Tulip,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/10847123686
The Island Pongwe Lodge,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,+255774651988,https://www.theislandpongwe.com/,https://www.openstreetmap.org/node/11611478280
Zanbluu Beach Hotel,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,"Plot No 108, Kiwengwa",https://www.zanbluu.com/,https://www.openstreetmap.org/node/12271121648
Marafiki Bungalows,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,+255 7777 999 47,http://marafikizanzibar.com/en/,https://www.openstreetmap.org/node/12271131918
Zanzibar Bay Resort,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/13151063684
VOI Kiwengwa Resort,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,+255 774 414 351,https://voihotels.com/en/hotels/voi-kiwengwa-resort/hotel,https://www.openstreetmap.org/way/395583074
Kiwengwa Beach Resort,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/543328602
Tulia Zanzibar Unique Beach Resort,Zanzibar,Zanzibar,Tanzania,"A hotel located in Zanzibar, rated 5 stars.",Check website,internet access,5-star,Pongwe,https://www.tuliazanzibar.com/,https://www.openstreetmap.org/way/626906233
Coral Bay Hotel,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,+255 744502244,https://www.coralbayzanzibar.com/,https://www.openstreetmap.org/way/841607012
Pongwe Bay Resort,Zanzibar,Zanzibar,Tanzania,A hotel located in Zanzibar.,Check website,internet access,Unrated,No contact information available,https://pongwebayresort.co/,https://www.openstreetmap.org/way/870923079
Citylink Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Arusha,No website available,https://www.openstreetmap.org/node/282580864
Indian restaurant,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Arusha,No website available,https://www.openstreetmap.org/node/282580869
Le Jacaranda,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/282580878
L'Oasis,Arusha,Arusha Region,Tanzania,"A hotel located in Arusha, rated 4 stars.",Check website,No amenities listed,4-star,Arusha,No website available,https://www.openstreetmap.org/node/478750828
Lush Garden Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,+255787884466,https://lushgardenhotels.co.tz/,https://www.openstreetmap.org/node/534199842
Freedom Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/534359957
Naaz Hotel & Restauarant,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/561205943
The Charity Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/566549298
Arusha Coffee Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,Arusha,https://www.elewanacollection.com/,https://www.openstreetmap.org/node/568978608
Snow Crest Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/579564843
The East African Hotel All Suites,Arusha,Arusha Region,Tanzania,"A hotel located in Arusha, rated 4 stars.",Check website,No amenities listed,4-star,No contact information available,No website available,https://www.openstreetmap.org/node/626312351
Club Afriko,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/651842556
Onsea House,Arusha,Arusha Region,Tanzania,"A hotel located in Arusha, rated 4 stars.",Check website,No amenities listed,4-star,No contact information available,No website available,https://www.openstreetmap.org/node/662756840
Kigongoni Lodge,Arusha,Arusha Region,Tanzania,"A hotel located in Arusha, rated 4 stars.",Check website,No amenities listed,4-star,"Kigongoni road, Arusha",www.kigongoni.net,https://www.openstreetmap.org/node/662756938
Karama Lodge & Spa,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,+255 754 475 188,www.karama-lodge.com,https://www.openstreetmap.org/node/758990546
Naura Springs Hotel,Arusha,Arusha Region,Tanzania,"A hotel located in Arusha, rated 4 stars.",Check website,No amenities listed,4-star,No contact information available,No website available,https://www.openstreetmap.org/node/797894109
Bay Leaf,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/849872071
Jevas Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1292016210
Davos Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1372126659
Ahadi Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2117347729
Tanzanite City Park Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2552018094
Meru House Inn,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,+255754037819,No website available,https://www.openstreetmap.org/node/4267888889
Arusha Centre Tourist Inn,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4294349492
White House,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Fire Sinone,No website available,https://www.openstreetmap.org/node/4391202490
Lush Garden Business Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Arusha,No website available,https://www.openstreetmap.org/node/4455627569
Olasiti Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4827775622
Arusha Crown Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,https://www.arushacrownhotel.com/,https://www.openstreetmap.org/node/5321438321
Saleka Guest House,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5453401521
Venice Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,+255 742 856 357,https://www.venicehotel.co.tz/,https://www.openstreetmap.org/node/5577322412
Imful,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5626130821
Green leaf lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5645946323
Arusha Tourist Inn,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5898471480
New Annex Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5907479692
7 11 Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6243860289
A1 Hotel and Resort,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,+255 765 061 525,http://www.a1hotelandresort.co.tz/,https://www.openstreetmap.org/node/6357632614
Mrimba Palm Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,"internet access, air conditioning",Unrated,"Njiro Road, Arusha",No website available,https://www.openstreetmap.org/node/6609223013
Golden rose,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6804959485
Njiro Climax Resort Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,Njiro Road,http://www.climaxresort.com,https://www.openstreetmap.org/node/6943966285
Gran Meliá Arusha,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,"Simeon Road, Arusha",No website available,https://www.openstreetmap.org/node/7672348049
Class Hall 4A&B (CH4A&B),Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8227285018
Moon Shine Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8435396017
Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8533251323
"Paris guest house 10.000ts clean room, toilet out",Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8710171618
Canteen,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8863417917
African Grand Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9557264217
Korona Villa Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Njiro Road,https://koronavilla.com/,https://www.openstreetmap.org/node/9702949377
Fun Retreat Resort,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9889584573
Fun Retreat Resort Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9889598025
Njiro Ebenezer Retreat Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9922486434
Lake Duluti Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Tengeru Rd,https://www.lakedulutilodge.com/,https://www.openstreetmap.org/node/10076315017
Tulia Retreat Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/10087418919
Senator Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/10139131517
Pazuri Inn Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,"internet access, air conditioning",Unrated,Kisongo,https://pazuriinn.com,https://www.openstreetmap.org/node/10611433935
Green Mountain Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,https://www.greenmountainhotel.co.tz,https://www.openstreetmap.org/node/10862247622
Hotel Pallsons,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/10862630092
Stereo Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/11212240238
Greenside Hotel Arusha,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,Nelson Mandela Road,No website available,https://www.openstreetmap.org/node/12265515101
Arusha Villa,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,+255 784 356 225,https://arushavilla.co.tz/,https://www.openstreetmap.org/node/12270975666
Njiro Legacy,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/12855091089
Serengeti Villa,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/13255857437
GMV Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/13421546610
Nature Tree Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/13569372375
Osim Bnb,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Sepeko Street,No website available,https://www.openstreetmap.org/node/13732301810
Forest Hill Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,"internet access, swimming pool",Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/13911775922
Hotel Equator,Arusha,Arusha Region,Tanzania,"A hotel located in Arusha, rated 3 stars.",Check website,internet access,3-star,"Boma Road, Arusha",https://www.equator-hotel.com/,https://www.openstreetmap.org/way/241923900
AM Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/244652450
Hotel Flamingo,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/244654428
Natron Palace Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/244654659
Aquiline Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/244654859
Kibo Palace Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/247916207
Impala Hotel Arusha,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/247916359
Briston Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/248817384
Arusha Backpackers,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,Sokoine Road,http://www.arushabackpackers.co.tz/,https://www.openstreetmap.org/way/249081777
African Tulip,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/253031860
La Bella Luna Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/281256022
Gold Crest Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,+255 677 014 957; +255 677 014 958,No website available,https://www.openstreetmap.org/way/311749829
ARUSHA HOTEL,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/311750756
New Safari Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/311755303
Palace Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/311755621
Mountain Village Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/312452318
Moivaro Coffee Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/312455085
Rich Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,"Market Street, Arusha",No website available,https://www.openstreetmap.org/way/317158295
Ilboru Safari Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Arusha,No website available,https://www.openstreetmap.org/way/318977701
Premier Palace Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,"1, Shamiani Street, Arusha City",No website available,https://www.openstreetmap.org/way/375247283
Saruni River Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/503252583
Sttlers executive Inn,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Mabawa St,No website available,https://www.openstreetmap.org/way/551205489
Silver Palm,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,Kilombero Ave,No website available,https://www.openstreetmap.org/way/987092321
Graceland Hotel,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,No amenities listed,Unrated,"402, Nzige Street, Arusha City",No website available,https://www.openstreetmap.org/way/1001411732
Olerai Lodge,Arusha,Arusha Region,Tanzania,A hotel located in Arusha.,Check website,internet access,Unrated,Arusha,https://owc-africa.com/olerai-lodge/,https://www.openstreetmap.org/way/1451046772
Golf Course Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,http://www.golfcoursehotel.com/,https://www.openstreetmap.org/node/294018725
Imperial Royale Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,+256 417 111001,https://www.imperialhotels.co.ug/improyaleoverview.html,https://www.openstreetmap.org/node/294022796
Corner View Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/590641748
Le Petit Village Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,https://www.lepetitvillage.net/,https://www.openstreetmap.org/node/598134694
Minister's Village Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/600902054
Gorilla Forest Camp,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/607973206
Rwizi Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/607973214
Bibianas Inn,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/609005335
Ntinda Close Motel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/611746918
Afro Park Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/616275124
Hotel Senats,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/619331121
Le Bougainviller,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,"1-7, Katazamiti Road, Kampala",https://www.bougainviller.com/,https://www.openstreetmap.org/node/621065899
Kampala Serena Hotel,Kampala,Central Region,Uganda,"A hotel located in Kampala, rated 5 stars.",Check website,No amenities listed,5-star,"Kintu Road, Kampala",https://www.serenahotels.com/serenakampala/default-en.html,https://www.openstreetmap.org/node/662083300
Bismillah Mufuti Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/662373523
Hotel International,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/665341745
Sports View Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/675609593
Kampala Club Hotel Shangri-la,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,https://www.shangri-la.co.ug/,https://www.openstreetmap.org/node/773119927
Shine Hotel Kansanga,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/826219087
Kagga Gardens,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1103180924
The Lodge,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1393751284
Landmark Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1575255119
SEB Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1594329540
Pearl Apartments,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,"644, Buziga Road",No website available,https://www.openstreetmap.org/node/1634353313
Silver Springs Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1686976316
Tandem Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1735579381
Mamba Point,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1777776582
Tourist Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,+256 414 251471,http://www.touristhotel.net/,https://www.openstreetmap.org/node/1777781615
SHIV,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/1788558314
Tal Cottages,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2105819704
Golf Course Apartments,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,+256 414 255465,http://www.golfcourseapartments.com,https://www.openstreetmap.org/node/2130348526
Ivys Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,internet access,Unrated,"90-91, Sir Albert Cook Road, Kampala",https://www.ivyshotel.co.ug/,https://www.openstreetmap.org/node/2330272205
Hotel Triangle,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2455315695
Fairway Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,"1, Kafu Road, Kampala",https://fairwayhotel.co.ug/,https://www.openstreetmap.org/node/2521845236
Kololo Courts,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,"3, Dundas Road, Kampala",https://www.kololocourts.com/,https://www.openstreetmap.org/node/2521846383
Speke Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,+256 414 259221,https://www.spekehotel.com/,https://www.openstreetmap.org/node/2521848702
Rivonia Apartments,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2521851590
The Lodge Kampala Hotel,Kampala,Central Region,Uganda,A hotel located in Kampala.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2521852038
